battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
842,0,2.2,0,1.0,0.0,7.0,0.6,188.0,2.0,2.0,20.0,756.0,2549.0,9.0,7.0,19,0,0,1,1
1021,1,0.5,1,0.0,1.0,53.0,0.7,136.0,3.0,6.0,905.0,1988.0,2631.0,17.0,3.0,7,1,1,0,2
563,1,0.5,1,2.0,1.0,41.0,0.9,145.0,5.0,6.0,1263.0,1716.0,2603.0,11.0,2.0,9,1,1,0,2
615,1,2.5,0,0.0,0.0,10.0,0.8,131.0,6.0,9.0,1216.0,1786.0,2769.0,16.0,8.0,11,1,0,0,2
1821,1,1.2,0,13.0,1.0,44.0,0.6,141.0,2.0,14.0,1208.0,1212.0,1411.0,8.0,2.0,15,1,1,0,1
1859,0,0.5,1,3.0,0.0,22.0,0.7,164.0,1.0,7.0,1004.0,1654.0,1067.0,17.0,1.0,10,1,0,0,1
1821,0,1.7,0,4.0,1.0,10.0,0.8,139.0,8.0,10.0,381.0,1018.0,3220.0,13.0,8.0,18,1,0,1,3
1954,0,0.5,1,0.0,0.0,24.0,0.8,187.0,4.0,0.0,512.0,1149.0,700.0,16.0,3.0,5,1,1,1,0
1445,1,0.5,0,0.0,0.0,53.0,0.7,174.0,7.0,14.0,386.0,836.0,1099.0,17.0,1.0,20,1,0,0,0
509,1,0.6,1,2.0,1.0,9.0,0.1,93.0,5.0,15.0,1137.0,1224.0,513.0,19.0,10.0,12,1,0,0,0
769,1,2.9,1,0.0,0.0,9.0,0.1,182.0,5.0,1.0,248.0,874.0,3946.0,5.0,2.0,7,0,0,0,3
1520,1,2.2,0,5.0,1.0,33.0,0.5,177.0,8.0,18.0,151.0,1005.0,3826.0,14.0,9.0,13,1,1,1,3
1815,0,2.8,0,2.0,0.0,33.0,0.6,159.0,4.0,17.0,607.0,748.0,1482.0,18.0,0.0,2,1,0,0,1
803,1,2.1,0,7.0,0.0,17.0,1.0,198.0,4.0,11.0,344.0,1440.0,2680.0,7.0,1.0,4,1,0,1,2
1866,0,0.5,0,13.0,1.0,52.0,0.7,185.0,1.0,17.0,356.0,563.0,373.0,14.0,9.0,3,1,0,1,0
775,0,1.0,0,3.0,0.0,46.0,0.7,159.0,2.0,16.0,862.0,1864.0,568.0,17.0,15.0,11,1,1,1,0
838,0,0.5,0,1.0,1.0,13.0,0.1,196.0,8.0,4.0,984.0,1850.0,3554.0,10.0,9.0,19,1,0,1,3
595,0,0.9,1,7.0,1.0,23.0,0.1,121.0,3.0,17.0,441.0,810.0,3752.0,10.0,2.0,18,1,1,0,3
1131,1,0.5,1,11.0,0.0,49.0,0.6,101.0,5.0,18.0,658.0,878.0,1835.0,19.0,13.0,16,1,1,0,1
682,1,0.5,0,4.0,0.0,19.0,1.0,121.0,4.0,11.0,902.0,1064.0,2337.0,11.0,1.0,18,0,1,1,1
772,0,1.1,1,12.0,0.0,39.0,0.8,81.0,7.0,14.0,1314.0,1854.0,2819.0,17.0,15.0,3,1,1,0,3
1709,1,2.1,0,1.0,0.0,13.0,1.0,156.0,2.0,2.0,974.0,1385.0,3283.0,17.0,1.0,15,1,0,0,3
1949,0,2.6,1,4.0,0.0,47.0,0.3,199.0,4.0,7.0,407.0,822.0,1433.0,11.0,5.0,20,0,0,1,1
1602,1,2.8,1,4.0,1.0,38.0,0.7,114.0,3.0,20.0,466.0,788.0,1037.0,8.0,7.0,20,1,0,0,0
503,0,1.2,1,5.0,1.0,8.0,0.4,111.0,3.0,13.0,201.0,1245.0,2583.0,11.0,0.0,12,1,0,0,1
961,1,1.4,1,0.0,1.0,57.0,0.6,114.0,8.0,3.0,291.0,1434.0,2782.0,18.0,9.0,7,1,1,1,2
519,1,1.6,1,7.0,1.0,51.0,0.3,132.0,4.0,19.0,550.0,645.0,3763.0,16.0,1.0,4,1,0,1,3
956,0,0.5,0,1.0,1.0,41.0,1.0,143.0,7.0,6.0,511.0,1075.0,3286.0,17.0,8.0,12,1,1,0,3
1453,0,1.6,1,12.0,1.0,52.0,0.3,96.0,2.0,18.0,187.0,1311.0,2373.0,10.0,1.0,10,1,1,1,2
851,0,0.5,0,3.0,0.0,21.0,0.4,200.0,5.0,7.0,1171.0,1263.0,478.0,12.0,7.0,10,1,0,1,0
1579,1,0.5,1,0.0,0.0,5.0,0.2,88.0,7.0,9.0,1358.0,1739.0,3532.0,17.0,11.0,12,0,0,1,3
1568,1,0.5,0,16.0,0.0,33.0,1.0,150.0,8.0,20.0,413.0,654.0,508.0,5.0,1.0,6,1,1,1,0
1319,1,0.9,0,3.0,1.0,41.0,0.9,107.0,1.0,18.0,85.0,1152.0,2227.0,18.0,5.0,3,1,1,1,1
1310,1,2.2,1,0.0,1.0,51.0,0.6,100.0,4.0,0.0,178.0,1919.0,3845.0,7.0,0.0,12,1,1,0,3
644,1,2.7,0,0.0,0.0,22.0,0.7,157.0,8.0,3.0,311.0,881.0,1262.0,12.0,1.0,15,1,0,0,0
725,0,1.3,1,16.0,0.0,60.0,0.4,160.0,8.0,17.0,1134.0,1249.0,1326.0,10.0,4.0,15,1,0,0,1
589,1,2.3,1,1.0,0.0,61.0,0.6,160.0,4.0,10.0,429.0,815.0,2113.0,13.0,7.0,2,1,0,1,1
1725,1,1.6,1,6.0,1.0,6.0,0.5,119.0,2.0,18.0,609.0,1307.0,3429.0,6.0,5.0,4,1,1,0,3
790,0,2.0,1,16.0,1.0,11.0,0.3,87.0,6.0,17.0,347.0,730.0,3169.0,6.0,1.0,2,1,0,1,2
560,0,0.5,1,15.0,0.0,50.0,0.3,159.0,2.0,20.0,1448.0,1613.0,2150.0,18.0,12.0,11,1,1,0,2
1347,0,2.9,0,5.0,0.0,44.0,0.6,132.0,1.0,14.0,434.0,967.0,2484.0,18.0,2.0,11,1,0,1,2
1646,1,2.3,0,8.0,1.0,41.0,0.2,185.0,2.0,10.0,1725.0,1932.0,3339.0,18.0,10.0,19,1,1,0,3
1253,1,0.5,1,5.0,1.0,5.0,0.2,152.0,2.0,19.0,685.0,714.0,1878.0,15.0,0.0,4,1,1,0,1
1656,0,1.0,0,5.0,1.0,34.0,0.1,166.0,3.0,7.0,880.0,1456.0,1629.0,15.0,12.0,14,1,1,0,1
1195,1,2.8,0,1.0,1.0,20.0,0.8,110.0,2.0,14.0,1580.0,1652.0,504.0,9.0,3.0,12,1,1,0,0
1514,0,2.9,0,0.0,0.0,27.0,0.2,118.0,3.0,1.0,186.0,1810.0,1152.0,8.0,3.0,20,0,1,1,1
1723,1,1.1,1,1.0,0.0,42.0,1.0,164.0,8.0,14.0,202.0,1791.0,3587.0,10.0,5.0,3,1,0,0,3
1054,1,1.8,1,3.0,1.0,40.0,0.8,196.0,7.0,10.0,27.0,774.0,2296.0,16.0,12.0,12,1,0,1,1
578,1,2.6,1,2.0,1.0,57.0,0.2,162.0,8.0,8.0,1025.0,1433.0,1270.0,15.0,3.0,5,1,0,1,0
596,0,2.1,1,9.0,0.0,64.0,0.8,111.0,8.0,15.0,885.0,1854.0,3238.0,16.0,13.0,10,0,0,0,3
1547,1,3.0,1,2.0,1.0,14.0,0.7,198.0,3.0,19.0,1042.0,1832.0,2059.0,5.0,0.0,15,1,0,1,2
1760,0,1.4,1,5.0,0.0,63.0,0.8,127.0,8.0,19.0,1382.0,1383.0,2053.0,19.0,12.0,16,0,1,0,2
1654,1,1.5,1,0.0,1.0,43.0,0.3,109.0,2.0,0.0,546.0,629.0,3112.0,12.0,5.0,10,1,1,0,3
1457,0,1.9,1,1.0,1.0,16.0,0.3,102.0,3.0,10.0,1013.0,1287.0,1440.0,17.0,8.0,12,1,0,1,1
1073,1,0.5,1,0.0,0.0,51.0,0.5,145.0,7.0,0.0,690.0,804.0,2908.0,6.0,0.0,18,0,1,0,2
1936,0,2.1,1,10.0,1.0,46.0,0.6,104.0,3.0,20.0,667.0,1036.0,2552.0,14.0,7.0,13,1,0,0,2
823,1,2.7,1,13.0,0.0,60.0,0.5,148.0,8.0,19.0,822.0,1449.0,905.0,14.0,11.0,17,1,1,1,0
987,0,1.3,1,0.0,1.0,61.0,0.4,107.0,3.0,9.0,581.0,820.0,3963.0,9.0,4.0,20,1,0,1,3
1757,0,0.5,0,8.0,0.0,49.0,0.5,180.0,6.0,14.0,265.0,713.0,2056.0,7.0,5.0,4,0,0,0,1
1063,0,1.4,1,2.0,1.0,48.0,1.0,128.0,5.0,4.0,127.0,683.0,2910.0,15.0,13.0,9,1,1,1,2
1484,0,3.0,0,3.0,0.0,12.0,0.6,134.0,3.0,5.0,916.0,969.0,1457.0,14.0,4.0,20,1,1,0,1
799,1,2.3,0,1.0,1.0,63.0,0.8,144.0,8.0,6.0,361.0,975.0,431.0,15.0,6.0,6,1,1,1,0
1156,1,1.2,1,0.0,1.0,50.0,0.8,159.0,2.0,0.0,322.0,547.0,470.0,7.0,0.0,15,1,1,0,0
1720,0,2.0,0,15.0,1.0,55.0,0.5,168.0,2.0,18.0,753.0,1353.0,2148.0,14.0,2.0,5,1,1,1,2
702,0,2.6,1,2.0,1.0,9.0,0.7,141.0,3.0,3.0,504.0,1570.0,2955.0,10.0,4.0,19,1,0,0,2
616,0,1.9,1,13.0,1.0,44.0,0.8,81.0,3.0,17.0,651.0,1618.0,3366.0,18.0,8.0,13,1,1,0,3
1358,1,0.5,0,11.0,1.0,36.0,0.3,155.0,4.0,14.0,1565.0,1858.0,3068.0,9.0,4.0,4,1,1,0,3
1866,0,1.4,0,0.0,0.0,30.0,0.5,182.0,3.0,0.0,108.0,1781.0,3834.0,16.0,11.0,8,0,0,0,3
1242,0,1.1,1,0.0,0.0,10.0,0.6,165.0,2.0,1.0,459.0,1225.0,1050.0,11.0,1.0,4,1,0,1,0
1166,0,1.5,1,0.0,1.0,43.0,0.8,80.0,4.0,1.0,205.0,603.0,3993.0,7.0,1.0,7,1,1,0,3
1448,1,0.5,1,6.0,1.0,45.0,0.8,138.0,7.0,11.0,570.0,1724.0,3378.0,13.0,11.0,2,1,1,1,3
1407,1,2.4,0,1.0,1.0,22.0,0.7,104.0,4.0,4.0,1172.0,1217.0,2192.0,9.0,7.0,13,1,0,1,2
605,0,1.0,0,8.0,1.0,9.0,0.1,142.0,3.0,16.0,160.0,1026.0,392.0,15.0,6.0,4,1,0,0,0
1038,0,1.2,0,3.0,0.0,43.0,0.7,141.0,1.0,5.0,4.0,638.0,3709.0,11.0,0.0,12,1,1,1,3
797,1,2.9,1,4.0,0.0,38.0,0.5,90.0,4.0,6.0,763.0,1413.0,590.0,9.0,2.0,6,0,1,0,0
819,0,0.6,1,8.0,1.0,42.0,0.9,188.0,6.0,20.0,339.0,1242.0,1814.0,5.0,4.0,13,1,0,1,1
1114,0,2.8,0,4.0,1.0,9.0,0.4,197.0,3.0,15.0,1040.0,1071.0,907.0,10.0,7.0,17,1,1,0,0
1234,1,1.6,1,1.0,0.0,33.0,0.6,172.0,1.0,3.0,166.0,778.0,1449.0,11.0,7.0,6,0,0,1,0
1199,1,2.5,1,15.0,1.0,16.0,0.2,116.0,4.0,20.0,1168.0,1552.0,3448.0,17.0,13.0,10,1,0,1,3
1103,0,1.0,1,6.0,0.0,29.0,0.7,111.0,6.0,8.0,990.0,1486.0,1837.0,8.0,7.0,16,0,1,1,1
1589,1,0.6,1,0.0,1.0,58.0,0.9,85.0,7.0,7.0,319.0,1206.0,3464.0,19.0,10.0,6,1,1,1,3
999,0,2.9,1,11.0,1.0,64.0,0.2,199.0,4.0,19.0,1397.0,1616.0,2593.0,14.0,11.0,16,1,1,0,2
1510,1,0.9,1,2.0,0.0,45.0,0.9,180.0,5.0,3.0,708.0,1752.0,3484.0,9.0,6.0,11,0,1,1,3
1008,0,0.8,0,11.0,0.0,61.0,1.0,114.0,3.0,15.0,1077.0,1122.0,2009.0,10.0,3.0,11,1,0,0,1
1127,1,2.9,1,5.0,1.0,57.0,0.8,163.0,1.0,13.0,928.0,1049.0,2048.0,11.0,5.0,17,1,1,1,1
1412,1,2.4,0,5.0,0.0,25.0,0.8,96.0,8.0,17.0,516.0,1894.0,837.0,15.0,9.0,4,0,0,1,1
1496,1,2.0,1,4.0,0.0,42.0,0.5,182.0,5.0,5.0,96.0,741.0,854.0,16.0,0.0,7,0,1,1,0
1083,1,2.9,1,1.0,1.0,64.0,0.8,178.0,3.0,11.0,1025.0,1118.0,3210.0,13.0,3.0,4,1,0,0,3
668,0,0.5,1,0.0,0.0,3.0,0.1,155.0,5.0,13.0,666.0,1203.0,2746.0,9.0,5.0,8,1,1,1,2
1309,0,1.1,1,0.0,0.0,33.0,0.5,100.0,4.0,14.0,557.0,1402.0,2334.0,10.0,1.0,11,1,0,1,2
1724,0,2.0,1,2.0,1.0,57.0,0.5,177.0,3.0,5.0,1605.0,1924.0,2822.0,19.0,3.0,16,1,1,0,3
1977,1,2.0,1,7.0,1.0,54.0,1.0,171.0,7.0,18.0,1226.0,1242.0,1971.0,18.0,7.0,14,1,1,0,2
885,0,2.3,1,0.0,1.0,15.0,0.4,103.0,7.0,0.0,769.0,802.0,1410.0,16.0,10.0,5,1,1,1,0
879,1,2.5,0,11.0,1.0,14.0,0.7,83.0,6.0,15.0,403.0,1105.0,349.0,16.0,10.0,2,1,0,1,0
1322,0,1.7,1,6.0,0.0,7.0,0.8,140.0,3.0,9.0,177.0,1990.0,1418.0,19.0,17.0,12,0,1,0,1
1137,1,1.0,0,18.0,0.0,7.0,1.0,196.0,3.0,19.0,942.0,1179.0,3616.0,13.0,5.0,12,1,1,1,3
1355,0,2.3,0,10.0,1.0,23.0,0.2,132.0,5.0,16.0,651.0,891.0,880.0,19.0,4.0,8,1,1,0,0
1665,1,0.5,0,3.0,1.0,60.0,0.2,194.0,6.0,18.0,1572.0,1684.0,1601.0,18.0,17.0,14,1,0,0,2
657,0,2.5,0,0.0,0.0,37.0,0.7,141.0,2.0,1.0,476.0,961.0,1412.0,14.0,3.0,18,0,1,0,0
593,0,0.5,0,6.0,0.0,31.0,0.4,156.0,7.0,7.0,1233.0,1317.0,1692.0,6.0,2.0,7,1,0,0,1
1883,1,0.5,0,3.0,1.0,10.0,0.3,146.0,6.0,13.0,836.0,1739.0,2600.0,16.0,8.0,20,1,0,0,3
1732,1,1.1,0,4.0,1.0,12.0,0.8,119.0,8.0,9.0,824.0,881.0,1308.0,16.0,7.0,11,1,0,1,1
543,0,0.5,0,0.0,0.0,57.0,0.7,192.0,5.0,4.0,391.0,984.0,2413.0,17.0,14.0,15,1,0,0,1
1939,1,2.8,1,0.0,1.0,55.0,0.6,199.0,4.0,10.0,320.0,520.0,1047.0,14.0,10.0,18,1,1,0,0
